epoch,knn_acc,kmeans_ari,kmeans_nmi,linear_acc
0,0.7471321695760599,0.03470835671972697,0.11746272806236406,0.6689930209371885
5,0.7680798004987531,0.047342890010077826,0.16951482814754731,0.7407776669990029
10,0.772069825436409,0.04906393721584011,0.19416970753458046,0.7507477567298105
15,0.7845386533665836,0.11429093475467995,0.21620649790058452,0.7597208374875374
20,0.7745635910224439,0.11271525075135834,0.23041985772764415,0.7557328015952144
25,0.7920199501246883,0.1279747018263327,0.2372662486345916,0.7706879361914257
30,0.7920199501246883,0.13326307629838127,0.25185053196916507,0.7686939182452642
